,bookingReference,NPSReason,Topic
227,7877646,Generally very good no problems good flight . I did expect some free snacks & a drink with it being a 4 hour flight but luckily we are members of the vip lounge & had a meal before flying,flights
228,7877653,Great flight times  excellent choice of airports  friendly staff,flights
229,7877656,More choice of cocktails would have been good. Hotel perhaps slightly tired in places. But overall pretty much as expected.,accommodation
230,7877660,All really good  no complaints,great
231,7877661,1/ The flights were poor. Cabins were cramped and they ran out of hot food. 2/ The hotel staff were great  But in the mornings they were more intent on clearing than looking after you at breakfast and lunch. Getting a drink or cutlery was very slow.,hotel
232,7877676,Reasonable flights good hotel,accommodation
233,7877684,Hotel as excellent as ever - this was our 7th visit. Impressed that some staff from the 1990's are still there and that they have now introduced more Greek dishes. Transfers very well handled  except one case left behind at hotel on return journey. but T,accommodation
234,7877688,Some of the aspects of the hotel  should of been better  towels only changed twice  th shower gel wasn’t changed all week. Food quality was ok  overall was great value for money so happy,hotel
235,7877699,Use better airlines.,flights
236,787771,they do agood job,great
237,7877718,We had a very relaxed cruise  all the crew were lovely  always smiling and always helpful. The activities on the ship were good and the entertainment was brilliant  we looked forward to the shows at night. The food was very good with a good selection. Ou,accommodation
238,7877723,Flight was delayed 2 hours. Plane got swapped from TUI plane to a Wamos plane. There was no drink and food facilities. The plane was very dirty and old. I certainly won't be flying with yourselves again,flights
239,7877736,I believed I had booked a side or sea view room. It was evident in conversation with the hotel before our arrival that this was not the case. Querying it with with TUI was unsatisfactory and the room we were allocated was disappointing and overpriced giv,hotel
240,7877743,The Flight was delayed by approx. 1 hour. Don't know why  think it was a technical issues before the plane arrived. The experience on board and during the flight was pleasant and relaxing  staff were great  friendly and polite. At the destination the kno,flights
241,7877750,All went smoothly. Flights.. reps... hotel all very good. Couldnt of been improved.,flights
242,7877751,Booking was fairly easy. Flights were good and on time.,flights
243,7877760,The flight out had no entertainment  not even a screen showing where we were geographically and couldn’t hear the captain speaking. The hotel was extremely clean and the staff welcoming and friendly. The food was well varied every meal time even when we ,hotel
244,7877767,Our holiday to Cape Verde went very smoothly apart from a few hiccups at Bristol Airport concerning the lift having broken down  very relaxing holiday.,flights
245,7877773,Everything went very well  even travelling with our autistic child  helpful people at airport and check in,flights
246,7877776,Me and my family had an awesome time in Menorca hotel was very clean and the food was excellent different choices of food which was awesome as my little kids are fussy eaters I will be back next year and the staff were polite and very helpful,accommodation
247,7877798,Overall the experience was very good  although the flight was a Norwegian flight so any credit here would be down to them. The only thing that let the holiday down was our room which we are very disappointed about.,flights
248,7877801,All went extremely well. Flight  transfer  hotel check in  room. Also home ward bound went very well. Please explain why we do online check in but  still have to queue at check in desk at East Mid' Airport - no baggage drop of. The whole Holiday was perf,flights
